DB00131,6083,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,6083,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
DB00132,5280934,CCC=CCC=CCC=CCCCCCCCC(=O)O,5280934,CCC=CCC=CCC=CCCCCCCCC(=O)O
DB00133,5951,C(C(C(=O)O)N)O,5951,C(C(C(=O)O)N)O
DB00134,6137,CSCCC(C(=O)O)N,6137,CSCCC(C(=O)O)N
DB00135,6057,C1=CC(=CC=C1CC(C(=O)O)N)O,6057,C1=CC(=CC=C1CC(C(=O)O)N)O
DB00136,5280453,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,5280453,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
DB00137,5281243,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C,5281243,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C
DB00138,67678,C(C(C(=O)O)N)SSCC(C(=O)O)N,67678,C(C(C(=O)O)N)SSCC(C(=O)O)N
DB00139,1110,C(CC(=O)O)C(=O)O,1110,C(CC(=O)O)C(=O)O
DB00140,493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
DB00141,24139,CC(=O)NC1C(C(C(OC1O)CO)O)O,1738118,CC(=O)NC(C=O)C(C(C(CO)O)O)O
DB00142,33032,C(CC(=O)O)C(C(=O)O)N,33032,C(CC(=O)O)C(C(=O)O)N
DB00143,124886,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,124886,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
DB00144,,,6323481,CCCC(=O)OC(COC(=O)CC)COP(=O)(O)OCC(C(=O)O)N
DB00145,750,C(C(=O)O)N,750,C(C(=O)O)N
DB00146,5283731,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,5283731,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
DB00147,1050,CC1=NC=C(C(=C1O)C=O)CO,1050,CC1=NC=C(C(=C1O)C=O)CO
DB00148,586,CN(CC(=O)O)C(=N)N,586,CN(CC(=O)O)C(=N)N
DB00149,6106,CC(C)CC(C(=O)O)N,6106,CC(C)CC(C(=O)O)N
DB00150,6305,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,6305,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
DB00151,5862,C(C(C(=O)O)N)S,5862,C(C(C(=O)O)N)S
DB00152,1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
DB00153,5280793,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,5280793,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
DB00154,5280581,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,5280581,CCCCCC=CCC=CCC=CCCCCCCC(=O)O
DB00155,9750,C(CC(C(=O)O)N)CNC(=O)N,9750,C(CC(C(=O)O)N)CNC(=O)N
DB00156,6288,CC(C(C(=O)O)N)O,6288,CC(C(C(=O)O)N)O
DB00157,439153,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O,439153,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O
DB00158,6037,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,6037,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
DB00159,446284,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,446284,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
DB00160,5950,CC(C(=O)O)N,5950,CC(C(=O)O)N
DB00161,6287,CC(C)C(C(=O)O)N,6287,CC(C)C(C(=O)O)N
DB00162,445354,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,445354,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
DB00163,14985,CC1=C(C(=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O,14985,CC1=C(C(=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O
DB00165,1054,CC1=NC=C(C(=C1O)CO)CO,1054,CC1=NC=C(C(=C1O)CO)CO
DB00166,6112,C1CSSC1CCCCC(=O)O,6112,C1CSSC1CCCCC(=O)O
DB00167,6306,CCC(C)C(C(=O)O)N,6306,CCC(C)C(C(=O)O)N
DB00168,134601,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,134601,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N
DB00169,5280795,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,5280795,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
DB00170,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,4055,CC1=CC(=O)C2=CC=CC=C2C1=O
DB00171,5957,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,5957,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
DB00172,145742,C1CC(NC1)C(=O)O,145742,C1CC(NC1)C(=O)O
DB00173,190,C1=NC2=C(N1)C(=NC=N2)N,190,C1=NC2=C(N1)C(=NC=N2)N
DB00174,6267,C(C(C(=O)O)N)C(=O)N,6267,C(C(C(=O)O)N)C(=O)N
DB00175,54687,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,54687,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O
DB00176,5324346,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,3404,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
DB00177,60846,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,60846,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
DB00178,5362129,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,5362129,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
DB00179,71398,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,71398,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
DB00180,82153,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,82153,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
DB00181,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
DB00182,3007,CC(CC1=CC=CC=C1)N,3007,CC(CC1=CC=CC=C1)N
